,cons_id,turn_out,percent_turn_out,valid_votes,invalid_votes,blank_votes,party_list_turn_out,party_list_percent_turn_out,party_list_valid_votes,party_list_invalid_votes,party_list_blank_votes,counted_vote_stations,percent_count,pause_report
0,BKK_0,0,0.0,0,0,0,0,0.0,0,0,0,16,16.84211,False
1,BKK_1,78449,60.14967,73354,1083,4012,78155,59.92425,74515,1590,2050,227,94.97908,False
2,BKK_2,84672,62.0394,78713,1319,4640,84550,61.95002,80804,1432,2314,220,94.82759,False
3,BKK_3,77999,63.63214,72671,1353,3975,78327,63.89972,75007,1381,1939,206,94.93088,False
4,BKK_4,74760,57.75069,70338,1370,3052,74571,57.60469,71263,1586,1722,187,94.92386,False
5,BKK_5,92193,68.79253,86672,1223,4298,91822,68.5157,88341,1372,2109,206,94.93088,False
6,BKK_6,96139,67.16244,89947,1327,4865,95985,67.05485,91803,1732,2450,209,95.0,True
7,BKK_7,87360,63.17799,80487,1556,5317,87437,63.23368,83240,1600,2597,201,94.81132,False
8,BKK_8,93179,64.67755,86197,1530,5452,92607,64.28051,88593,1576,2438,193,94.60784,False
9,BKK_9,97958,67.88684,90662,1523,5773,97497,67.56736,93330,1493,2674,189,94.97487,False
10,BKK_10,90627,65.34643,83784,1415,5428,90689,65.39113,86401,1676,2612,178,94.68085,False
11,BKK_11,95230,69.34947,90059,1171,4000,95046,69.21548,90987,1664,2395,185,94.87179,False
12,BKK_12,100659,70.31813,93925,1483,5251,100578,70.26155,96726,1412,2440,181,94.7644,False
13,BKK_13,85806,65.14916,79890,1185,4731,86328,65.54549,83019,1260,2049,183,94.81865,False
14,BKK_14,89044,63.44832,83986,1306,3752,89210,63.5666,85722,1436,2052,187,94.92386,False
15,BKK_15,87827,68.74481,81890,1269,4668,88267,69.08922,84493,1533,2241,175,94.59459,False
16,BKK_16,91334,66.05912,85747,1310,4277,91349,66.06997,87701,1342,2306,170,94.97207,False
17,BKK_17,75113,62.22909,68125,1844,5144,75330,62.40887,70229,2098,3003,168,94.91525,False
18,BKK_18,79260,64.51403,73057,1334,4869,79194,64.46031,74583,2113,2498,161,94.70588,False
19,BKK_19,89867,66.27653,83857,1517,4493,89867,66.27653,86264,1496,2107,179,94.70899,False
20,BKK_20,78913,62.37985,74013,1611,3289,78727,62.23281,74772,1764,2191,161,94.70588,False
21,BKK_21,87981,64.37147,83023,1387,3571,88211,64.53975,84537,1407,2267,173,94.53552,False
22,BKK_22,87232,65.25971,80888,1419,4925,87319,65.32479,83561,1401,2357,192,94.58128,False
23,BKK_23,95094,65.97519,89186,1016,4892,90844,63.02659,87246,1242,2356,220,94.82759,False
24,BKK_24,91552,64.40022,84371,1800,5381,91523,64.37982,87082,1702,2739,221,94.84979,False
25,BKK_25,82288,64.87185,77290,1348,3650,82302,64.88289,78280,1811,2211,165,94.82759,False
26,BKK_26,89312,64.03533,82875,1707,4730,89327,64.04609,84984,1947,2396,197,94.71154,False
27,BKK_27,91070,67.70047,85471,1503,4096,91070,67.70047,86860,1721,2489,167,94.88636,False
28,BKK_28,77195,55.19961,71197,1534,4464,76799,54.91644,73131,1463,2205,150,78.53403,False
29,BKK_29,95801,66.29919,88794,1762,5245,95693,66.22445,90731,2254,2708,189,94.97487,False
30,BKK_30,96587,67.11905,89793,1438,5356,98344,68.34,93806,1828,2710,184,94.84536,False
31,BKK_31,102192,71.05993,93621,1887,6684,102329,71.1552,96994,1977,3358,228,94.60581,False
32,BKK_32,87928,63.22162,80054,2145,5729,88018,63.28633,83294,1992,2732,216,94.73684,False
33,BKK_33,90725,61.20845,83494,1884,5347,90680,61.17809,86400,1664,2616,205,89.51965,False
34,SPK_1,91637,70.05458,82985,3986,4666,91610,70.03394,85893,2840,2877,197,94.71154,False
35,SPK_2,89085,69.04743,82529,2357,4199,89327,69.235,83407,2883,3037,190,94.52736,False
36,SPK_3,88659,62.80256,81428,2232,4999,91858,65.0686,86591,2110,3157,200,94.78673,False
37,SPK_4,90493,66.30738,83459,1513,5521,88654,64.95988,84354,1482,2818,170,94.97207,False
38,SPK_5,98647,62.15942,88948,2530,7169,98261,61.91619,92666,1967,3628,218,94.78261,False
39,SPK_6,86953,66.89258,80192,2553,4208,86781,66.76026,80595,3198,2988,247,94.63602,False
40,SPK_7,99665,66.69767,92193,2612,4860,99835,66.81144,92883,3120,3832,217,94.75983,False
41,SPK_8,105164,69.72399,96900,3255,5009,105857,70.18345,98658,3831,3368,239,94.84127,False
42,NBI_1,92943,66.37269,86108,1616,5219,92974,66.39482,88453,1795,2726,167,94.88636,False
43,NBI_2,83203,66.7718,76200,1692,5311,83341,66.88254,78673,1706,2962,166,94.85714,False
44,NBI_3,80564,57.14529,72712,1896,5956,80582,57.15806,76001,1663,2918,158,77.07317,False
45,NBI_4,77244,60.65203,71114,1765,4365,76645,60.1817,72830,1383,2432,168,94.91525,False
46,NBI_5,98977,71.79582,90970,2083,5924,99192,71.95178,93698,2301,3193,188,94.94949,False
47,NBI_6,104901,72.80444,94433,3445,7023,105037,72.89882,98851,2426,3760,202,94.83568,False
48,NBI_7,94948,66.64046,86506,2480,5962,94516,66.33726,88525,2351,3640,199,94.7619,False
49,NBI_8,98052,71.57969,90231,2125,5696,97806,71.4001,91914,2622,3270,194,94.63415,False
50,PTE_1,96543,73.86611,89538,2728,4277,96550,73.87146,89994,3184,3372,191,94.55446,False
51,PTE_2,97616,75.72944,92064,1936,3616,97498,75.63789,91559,3080,2859,185,94.87179,False
52,PTE_3,88840,67.43432,79693,2794,6353,88826,67.4237,84046,1755,3025,171,95.0,True
53,PTE_4,90732,68.7171,83457,2367,4908,90682,68.67923,85667,2348,2667,169,94.94382,False
54,PTE_5,80064,65.23057,73781,1572,4711,80477,65.56705,76234,1742,2501,201,94.81132,False
55,PTE_6,83592,68.29802,77289,1644,4659,82927,67.75469,79007,1415,2505,145,94.77124,False
56,PTE_7,87221,71.58474,81575,2068,3578,87495,71.80962,82177,2790,2528,176,94.62366,False
57,PTE_8,80495,65.76228,73988,3095,3412,80956,66.1389,75402,3088,2466,177,94.65241,False
58,AYA_1,99087,70.68151,90908,3338,4841,98239,70.07661,90094,4026,4119,227,94.97908,False
59,AYA_2,98074,76.26935,90248,3371,4455,97628,75.92251,88060,5460,4108,222,94.87179,False
60,AYA_3,100194,73.40596,93292,3436,3466,99961,73.23526,92085,4544,3332,206,94.93088,False
61,AYA_4,102574,73.51763,96028,2797,3749,101712,72.89981,94598,3972,3142,219,94.80519,False
62,AYA_5,98147,73.76423,91327,4153,2667,98233,73.82887,90047,5331,2855,227,94.97908,False
63,ATG_1,80520,72.10789,75023,2578,2919,80689,72.25924,73747,4107,2835,236,94.77912,False
64,ATG_2,81967,72.90946,75719,3152,3096,79098,70.35749,71535,5059,2504,243,94.92188,False
65,LRI_1,97232,64.08985,88735,3424,5073,97104,64.00548,86778,6081,4245,246,94.98069,False
66,LRI_2,110985,74.15215,102847,3842,4296,110846,74.05928,100668,6120,4058,254,94.77612,False
67,LRI_3,99817,68.53304,93520,3661,2636,95328,65.45095,86836,5958,2534,272,94.77352,False
68,LRI_4,109708,73.43535,102196,4531,2981,110263,73.80685,100130,6837,3296,266,94.66192,False
69,SBR_1,120463,72.05889,108486,5170,6807,120546,72.10853,108622,6676,5248,316,94.89489,False
70,CNT_1,85157,64.92852,72785,5224,7148,85178,64.94453,75681,5214,4283,241,94.88189,False
71,CNT_2,90466,69.363,80425,4664,5377,90276,69.21732,79866,6749,3661,248,94.65649,False
72,SRI_1,91835,71.67666,82105,3459,6271,91767,71.62358,83461,4200,4106,207,94.95413,False
73,SRI_2,98281,71.90013,90532,4256,3493,98696,72.20373,89163,5896,3637,231,94.67213,False
74,SRI_3,65098,51.72625,59919,2411,2768,66275,52.66148,59824,3527,2924,197,94.71154,False
75,SRI_4,94975,74.01534,85330,4089,5556,94839,73.90935,84249,5589,5001,222,94.87179,False
76,CBI_1,98894,74.0535,92439,2127,4328,98442,73.71503,92687,2910,2845,163,94.76744,False
77,CBI_2,78872,69.22179,73956,1776,3140,78872,69.22179,74280,2150,2442,126,94.73684,False
78,CBI_3,92645,72.84328,84876,3120,4649,92645,72.84328,86453,3183,3009,170,94.97207,False
79,CBI_4,83770,69.6522,76139,3736,3895,83726,69.61561,76211,4745,2770,173,94.53552,False
80,CBI_5,97667,72.3545,89663,3471,4533,94743,70.18832,86568,4768,3407,206,94.93088,False
81,CBI_6,88248,63.68478,81831,2068,4349,88747,64.04489,83249,2867,2631,168,94.91525,False
82,CBI_7,84276,65.90499,78561,1993,3722,84052,65.72981,79513,2185,2354,154,94.47853,False
83,CBI_8,86649,61.69121,79998,2844,3807,86455,61.55308,80819,3093,2543,171,94.47514,False
84,CBI_9,62578,50.97796,56469,2878,3231,62757,51.12378,58973,1872,1912,156,94.54545,False
85,CBI_10,84108,62.44608,77743,1900,4465,79374,58.93132,72890,2585,3899,168,94.91525,False
86,RYG_1,85173,69.96074,79332,2232,3609,85173,69.96074,80393,2223,2557,170,94.97207,False
87,RYG_2,71887,61.62782,63412,3408,5067,71913,61.65011,67372,2053,2488,190,94.52736,False
88,RYG_3,80115,64.41459,71812,3348,4955,80302,64.56494,73011,3503,3788,232,94.69388,False
89,RYG_4,57717,44.57737,53379,1994,2344,52640,40.65618,48711,2206,1723,115,58.67347,False
90,RYG_5,85239,65.78758,77376,3288,4575,85354,65.87634,79657,2960,2737,169,94.94382,False
91,CTI_1,105152,71.03521,95966,3058,6128,104944,70.8947,95372,4217,5355,280,94.91525,False
92,CTI_2,94138,66.07242,84142,4595,5401,94306,66.19033,84082,5244,4980,273,94.79167,False
93,CTI_3,96465,67.79607,87089,4032,5344,96465,67.79607,86495,5477,4493,281,94.93243,False
94,TRT_1,112944,63.83902,104438,4161,4345,113099,63.92663,103587,5726,3786,329,94.81268,False
95,CCO_1,105262,71.81541,91858,4789,8615,105523,71.99348,96521,3886,5116,244,94.94163,False
96,CCO_2,114004,78.59147,105669,4230,4105,113603,78.31503,103370,6316,3917,264,94.96403,False
97,CCO_3,98419,66.3098,88206,5117,5096,98025,66.04435,88245,6452,3328,246,94.98069,False
98,CCO_4,117546,77.37005,107721,4360,5465,117390,77.26737,107026,6242,4122,244,94.94163,False
99,PRI_1,89864,67.77227,78565,3509,7790,90264,68.07394,80760,4390,5114,228,94.60581,False
100,PRI_2,101887,71.85109,94564,3353,3970,101584,71.63741,93228,4923,3433,281,94.93243,False
101,PRI_3,86149,66.71494,77567,4326,4256,85888,66.51282,77514,4879,3495,248,94.65649,False
102,NYK_1,73481,70.61814,68423,2365,2693,74049,71.16401,66970,4249,2830,199,94.7619,False
103,NYK_2,81538,74.84327,75139,3041,3358,81538,74.84327,73884,4718,2936,242,94.90196,False
104,SKW_1,93093,63.11304,85502,3596,3995,93286,63.24389,84541,5716,3029,276,94.84536,False
105,SKW_2,87143,60.03817,80109,3520,3514,87242,60.10638,79815,4621,2806,290,94.77124,False
106,SKW_3,95577,63.27633,87118,4905,3554,95161,63.00092,86214,5825,3122,288,94.73684,False
107,NMA_1,85005,66.06589,76007,2167,6831,85116,66.15216,78573,2491,4052,228,95.0,True
108,NMA_2,95437,67.57941,87403,2931,5103,95490,67.61694,87184,3960,4346,206,94.93088,False
109,NMA_3,97321,71.27185,87895,3425,6001,97316,71.26819,88973,4107,4236,222,94.87179,False
110,NMA_4,79563,60.38571,71266,3412,4885,77757,59.01501,70454,3883,3420,290,94.77124,False
111,NMA_5,91146,68.27007,83962,3689,3495,91275,68.36669,82455,5626,3194,281,94.93243,False
112,NMA_6,81885,61.33386,78091,2021,1773,81345,60.92939,75175,4584,1586,291,94.78827,False
113,NMA_7,72610,55.08687,68289,2474,1847,72506,55.00797,66629,4207,1670,314,94.86405,False
114,NMA_8,78356,58.55503,70904,4488,2964,78403,58.59015,71589,4210,2604,278,94.88055,False
115,NMA_9,83262,61.32939,79059,2651,1552,87229,64.25141,80515,4843,1871,285,95.0,True
116,NMA_10,102879,74.47229,95993,3772,3114,102445,74.15812,92711,6222,3512,287,94.71947,False
117,NMA_11,85265,64.37038,77647,3689,3929,85423,64.48966,77330,5001,3092,258,94.85294,False
118,NMA_12,86213,65.06396,78302,4225,3686,90376,68.20573,81422,5551,3403,310,94.80122,False
119,NMA_13,71744,55.14273,60849,6106,4789,72017,55.35256,64469,4332,3216,270,94.73684,False
120,NMA_14,82123,62.77317,71835,4731,5557,81926,62.62259,74623,3537,3766,228,95.0,True
121,NMA_15,89820,64.79818,85822,2489,1509,93049,67.12766,85812,5270,1967,313,94.84848,False
122,NMA_16,82925,60.97382,77922,2785,2218,82327,60.53411,75477,4954,1896,323,95.0,True
123,BRM_4,71088,58.49949,66230,3058,1800,66046,54.35035,61453,3538,1055,257,94.83395,False
124,BRM_1,76770,61.25673,70455,3400,2915,76626,61.14183,71524,3523,1579,261,94.90909,False
125,BRM_2,82670,64.7681,75769,3510,3391,82745,64.82686,76908,4143,1694,263,94.94585,False
126,BRM_3,68118,54.2181,63636,3142,1340,68032,54.14965,63851,3345,836,266,94.66192,False
127,BRM_5,77970,59.32074,72573,2920,2477,72251,54.96964,67351,3602,1298,302,94.96855,False
128,BRM_6,69506,53.1489,64305,2667,2534,69903,53.45247,65237,3318,1348,294,94.83871,False
129,BRM_7,71117,57.80789,66292,2802,2023,70555,57.35106,65607,3656,1292,257,94.83395,False
130,BRM_8,79742,62.80134,73395,3042,3305,79642,62.72258,73492,4018,2132,266,95.0,True
131,BRM_9,67032,52.37366,62019,3038,1975,72515,56.65766,66932,4071,1512,239,94.84127,False
132,BRM_10,65157,53.71514,60525,2705,1927,65171,53.72668,60481,3554,1136,211,94.61883,False
133,SRN_1,88601,65.10088,81068,3303,4230,88615,65.11117,82136,3816,2663,235,94.75806,False
134,SRN_2,89248,63.69443,84087,2850,2311,88080,62.86085,81987,4404,1689,251,94.71698,False
135,SRN_3,74602,54.29786,70135,2455,2012,74601,54.29713,69500,3539,1562,301,94.95268,False
136,SRN_4,72193,51.6953,68441,2121,1631,71455,51.16684,66844,3275,1336,293,94.82201,False
137,SRN_5,70625,52.10101,67868,1949,808,69778,51.47616,64847,4101,830,301,94.95268,False
138,SRN_6,76662,57.13711,71941,3007,1714,76481,57.00221,71043,4132,1306,259,94.87179,False
139,SRN_7,87156,63.87488,80866,4081,2209,87650,64.23693,81693,4255,1702,278,94.88055,False
140,SRN_8,76667,56.02552,71162,3934,1571,76342,55.78802,70526,4308,1508,247,94.63602,False
141,SSK_1,82102,61.76473,78704,1964,1434,82175,61.81965,77355,3296,1524,274,94.80969,False
142,SSK_2,73527,57.11767,69985,2191,1351,74213,57.65057,69121,3758,1334,273,94.79167,False
143,SSK_3,78816,61.575,73521,3067,2228,78520,61.34375,72087,4593,1840,277,94.86301,False
144,SSK_4,72004,58.78885,67792,2520,1692,71504,58.38062,65873,4303,1328,230,94.65021,False
145,SSK_5,80717,63.21919,75589,3280,1848,80393,62.96543,74004,4824,1565,232,94.69388,False
146,SSK_6,70972,55.11917,66877,2850,1245,60564,47.03598,55870,3930,764,298,94.90446,False
147,SSK_7,71700,56.22295,67063,3877,760,71666,56.19629,66966,3957,743,324,94.73684,False
148,SSK_8,76063,57.04483,71854,2679,1530,75608,56.70359,70406,3793,1409,361,95.0,True
149,SSK_9,87028,62.49542,82939,2521,1568,86965,62.45018,81836,3612,1517,402,94.81132,False
150,UBN_1,86407,65.19118,76420,3834,6153,86822,65.50429,80278,2930,3614,235,94.75806,False
151,UBN_2,84801,62.09389,80009,2147,2645,84555,61.91376,78178,3868,2509,272,94.77352,False
152,UBN_3,87951,62.93317,80774,3261,3916,88265,63.15786,81369,4197,2699,318,94.92537,False
153,UBN_4,106067,70.5364,94753,4933,6381,106088,70.55037,97295,4797,3996,291,94.78827,False
154,UBN_5,74566,56.89282,69964,2665,1937,74669,56.9714,69300,3644,1725,305,94.7205,False
155,UBN_6,80082,60.64934,74580,3912,1590,80165,60.7122,73729,4884,1552,264,94.96403,False
156,UBN_7,86153,65.62238,82798,2418,937,85903,65.43196,80601,4012,1290,270,94.73684,False
157,UBN_8,78660,57.276,74464,2553,1643,80823,58.85098,74701,4231,1891,280,94.91525,False
158,UBN_9,74428,57.17314,70003,3354,1071,74493,57.22308,68823,4456,1214,231,94.67213,False
159,UBN_10,84112,59.53441,77104,4622,2386,84961,60.13533,79339,4213,1409,304,94.70405,False
160,UBN_11,80392,59.38599,74813,3056,2523,80957,59.80336,74248,4442,2267,234,94.73684,False
161,YST_1,100428,69.40237,95665,2747,2016,92326,63.80335,86759,3785,1782,291,94.78827,False
162,YST_2,81496,57.7208,79014,1694,788,81583,57.78242,77266,3297,1020,291,94.78827,False
163,YST_3,93197,63.56624,87905,3394,1898,94013,64.1228,88585,3833,1595,296,94.87179,False
164,CPM_1,14912,11.52031,13835,514,563,15241,11.77448,13984,814,443,56,21.29278,False
165,CPM_2,83187,62.2839,75776,4233,3178,83111,62.227,75737,4745,2629,327,94.78261,False
166,CPM_3,75078,59.04494,69948,3486,1644,75689,59.52546,68471,5282,1936,292,94.80519,False
167,CPM_4,54838,45.25185,52350,1940,548,54592,45.04885,50442,3283,867,176,75.86207,False
168,CPM_5,77587,58.73843,74248,2358,981,77729,58.84593,71527,4807,1395,254,94.77612,False
169,CPM_6,84588,62.87855,79010,3633,1945,84625,62.90606,77617,5371,1637,258,94.85294,False
170,CPM_7,75380,59.40625,72679,1916,785,76294,60.12657,70883,4141,1270,272,94.77352,False
171,ACR_1,85388,58.67623,79648,2654,3086,85293,58.61095,79450,3730,2113,306,94.73684,False
172,ACR_2,98082,62.39948,88929,5450,3703,97713,62.16472,90537,4785,2391,334,94.88636,False
173,BKN_1,66872,63.81403,62774,2694,1404,70549,67.32289,66228,2994,1327,207,94.95413,False
174,BKN_2,73563,67.23486,70695,1819,1049,72567,66.32453,68278,3178,1111,244,91.38577,False
175,BKN_3,69303,58.53393,63762,3457,2084,69384,58.60234,64556,3244,1584,246,94.98069,False
176,NBP_1,87806,63.03103,83308,2222,2276,92386,66.31875,86113,4262,2011,257,94.83395,False
177,NBP_2,79264,58.27207,75283,2329,1652,79315,58.30956,74085,3921,1309,257,94.83395,False
178,NBP_3,78888,59.17547,74323,2781,1784,78947,59.21973,73396,4063,1488,250,94.69697,False
179,KKN_1,86314,67.30136,78585,2510,5219,80932,63.10487,75615,2737,2580,170,94.97207,False
180,KKN_2,99877,71.95179,91205,2640,6032,99334,71.56061,92727,3387,3220,170,94.97207,False
181,KKN_3,83342,63.04379,77806,3714,1822,83197,62.93411,77507,4166,1524,252,94.73684,False
182,KKN_4,92289,70.51367,87456,2664,2169,92164,70.41817,85617,4573,1974,243,94.92188,False
183,KKN_5,81282,61.67025,77433,2459,1390,81333,61.70894,75467,4691,1175,252,94.73684,False
184,KKN_6,86315,66.4442,80055,3809,2451,86181,66.34105,79094,5062,2025,244,94.94163,False
185,KKN_7,88824,67.10687,81886,4330,2608,88625,66.95653,81734,5026,1865,263,94.94585,False
186,KKN_8,91152,65.27923,84753,3417,2982,91350,65.42103,84806,4413,2131,244,94.94163,False
187,KKN_9,76079,59.75135,72773,2267,1039,75980,59.67359,71439,3677,864,270,94.73684,False
188,KKN_10,82656,60.90859,77613,3746,1297,83761,61.72285,78600,4228,933,292,94.49838,False
189,KKN_11,80798,61.44428,74696,4043,2059,80866,61.49599,74894,4359,1613,253,94.75655,False
190,UDN_1,81594,63.12638,73783,2345,5466,80339,62.15543,75223,2150,2966,212,94.64286,False
191,UDN_2,70331,52.929,64878,2463,2990,70615,53.14273,65327,3218,2070,194,94.63415,False
192,UDN_3,71577,56.88389,68138,2315,1124,71753,57.02376,66966,3757,1030,231,94.67213,False
193,UDN_4,67756,53.5701,64235,2136,1385,67552,53.40881,62904,3657,991,209,95.0,True
194,UDN_5,65967,55.39303,62415,2143,1409,65750,55.21081,61517,3155,1078,218,94.78261,False
195,UDN_6,77238,61.10601,73916,2264,1058,76567,60.57516,72005,3346,1216,230,94.65021,False
196,UDN_7,67107,52.32555,61630,3024,2453,66215,51.63003,61395,3227,1593,229,94.6281,False
197,UDN_8,72517,59.10299,67587,2746,2184,72831,59.3589,67021,4154,1656,209,94.57014,False
198,UDN_9,73470,58.85746,66512,4683,2275,73316,58.73409,67413,4280,1623,225,94.93671,False
